State	All	Alc	Brain	Colon	Eso	HL	Kidn	Leuk	Liver	Melan	NHL	Oral	Panc	Stom	Thr	Blad
RI	450.6	128.2	6.2	30.9	4.3	2.8	16.5	15.1	8.3	21.7	18.1	10.3	13.9	6.2	16.8	23.8
SC	440.9	134.0	5.8	38.1	4.7	3.2	17.9	11.4	7.8	24.2	16.5	12.4	14.0	6.2	10.7	16.9
SD	449.5	121.2	7.0	39.9	4.1	3.4	18.6	16.9	7.0	24.1	20.0	12.7	14.1	4.2	15.1	20.7
TN	455.7	132.1	6.4	40.2	4.4	3.2	19.4	12.1	8.3	19.0	16.9	12.7	12.6	6.0	13.2	20.3
TX	391.8	120.8	6.2	36.1	3.9	3.4	18.6	12.9	11.5	12.6	16.7	11.0	12.5	6.3	11.5	14.6
UT	390.6	107.0	6.0	27.7	3.1	2.8	12.7	13.6	5.6	41.2	16.9	10.8	9.8	4.7	17.1	15.7
VT	442.4	124.0	6.5	33.3	6.1	3.3	15.6	9.0	5.1	41.1	16.9	9.4	11.8	5.0	16.5	22.6
VA	413.3	127.1	6.1	34.8	3.9	2.9	16.0	11.0	7.2	19.2	17.0	11.7	12.5	6.2	13.4	17.0
WA	445.1	131.9	6.7	36.0	4.7	2.8	16.0	14.4	9.2	25.5	18.9	12.6	13.0	5.8	13.4	22.1
WV	472.0	135.7	7.3	43.8	5.5	2.9	20.4	14.8	7.3	22.1	19.8	14.2	12.1	6.1	16.6	22.3
WI	458.6	129.2	6.8	36.5	4.9	3.0	18.9	15.7	7.6	24.4	20.6	11.4	12.7	5.8	14.0	21.8
WY	402.3	117.1	6.6	34.8	3.5	3.0	14.8	12.2	5.8	19.8	16.3	11.4	10.7	4.4	15.7	18.5
																
						 										
